"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.1959483	0.5824977	0.4324854	0.1691188	0.5052431	0.8473133	0.1040885	0.1992609	0.8985834	0.6556707
0.3630604	0.6502029	0.5221531	0.1270010	0.1457271	0.2075177	0.0583236	0.3600087	0.4463103	0.6302627
0.1728104	0.2367604	0.4793328	0.1648654	0.3671302	0.6706281	0.2471403	0.0920619	0.6739688	0.4646259
0.2357432	0.4621152	0.1839444	0.3491116	0.6209798	0.5822496	0.2349858	0.0885267	0.5239991	0.7560054
0.8614673	0.5679280	0.4664981	0.2077127	0.2550727	0.8024667	0.1189673	0.0885154	0.1961358	0.6164100
0.2723432	0.5061845	0.4236848	0.1766911	0.4576857	0.6236204	0.4032144	0.0869847	0.3022433	0.5556021
0.5125651	0.5804990	0.4759692	0.0621917	0.1566037	0.3818986	0.3217045	0.1486059	0.3169272	0.6592554
0.2455940	0.4452169	0.2633450	0.3098009	0.6584698	0.6082745	0.4346194	0.0461390	0.7206809	0.5807230
0.2100234	0.6541318	0.4273156	0.1504376	0.0146669	0.0015171	0.0104880	0.7477423	0.2548957	0.7280761
0.1519316	0.5903271	0.4868146	0.0213399	0.4729611	0.7140243	0.1174816	0.0889995	0.8080174	0.6552066
