"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.3205420	0.6879449	0.5033965	0.1750393	0.0838374	0.1041290	0.0665567	0.5830473	0.1172575	0.7247096
0.5941908	0.3611363	0.4190913	0.1970878	0.0380048	0.0248948	0.0183586	0.5004596	0.3956179	0.6763111
0.6152805	0.6447647	0.2366104	0.4005672	0.0437949	0.0734382	0.0140481	0.5047191	0.2387235	0.6518275
0.7265888	0.7872316	0.4068561	0.0879118	0.0381865	0.1043803	0.0229268	0.5244368	0.2396551	0.7262891
0.5555857	0.7654073	0.5023790	0.2327150	0.0241998	0.0557172	0.0154197	0.5245646	0.2136037	0.7839845
0.2607351	0.7055662	0.5981807	0.1615311	0.0336920	0.0233710	0.0403803	0.7898504	0.5030506	0.6389899
0.6999135	0.6382899	0.4545133	0.1350447	0.0539993	0.0619193	0.0165408	0.5634051	0.3905120	0.6722860
0.5745990	0.7618298	0.5459931	0.1815917	0.0461737	0.0625504	0.0648850	0.2435674	0.4332830	0.7913383
0.7373488	0.6757498	0.5149762	0.1213151	0.0504004	0.0600144	0.0061750	0.5792662	0.0531039	0.7143992
0.6080118	0.6354945	0.1595466	0.6909931	0.0380458	0.0268191	0.0402738	0.5873895	0.2790575	0.3549592
