"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.0000000	0.6730556	0.5102137	0.1288293	0.0392574	0.0290424	0.0083377	0.5978073	0.2790158	0.8647621
0.7182467	0.0000000	0.4892255	0.1758816	0.0312129	0.1300400	0.0248930	0.6042815	0.2775876	0.7490054
0.5650937	0.6928304	0.0000000	0.8745851	0.0351422	0.0630352	0.0554439	0.5664635	0.2059476	0.7467938
0.6653405	0.5924823	0.5105926	0.0000000	0.0408480	0.0352158	0.0272249	0.4608738	0.1672770	0.6962320
0.4730520	0.7341676	0.5342184	0.2333182	0.0000000	0.0839090	0.0161931	0.5893949	0.5413646	0.7888213
0.1190452	0.6228605	0.4951433	0.1101854	0.0813286	0.0000000	0.0139723	0.7897310	0.7614963	0.6630566
0.7388320	0.7323259	0.3984523	0.1598124	0.0348438	0.0656494	0.0000000	0.5069484	0.3111202	0.8246114
0.1631101	0.4208605	0.5512233	0.2234311	0.6884008	0.8032026	0.7685836	0.0000000	0.7752942	0.7771677
0.6311685	0.7374332	0.4107873	0.2082014	0.0396361	0.0454796	0.0180357	0.5961165	0.0000000	0.6735968
0.5798446	0.7366808	0.0302064	0.8077402	0.0458466	0.0582861	0.0043085	0.6491433	0.5238692	0.0000000
