"New"	"Old"
G52	G1
G48	G2
G8	G3
G60	G4
G40	G5
G9	G6
G23	G7
G75	G8
G2	G9
G19	G10
G88	G11
G64	G12
G25	G13
G61	G14
G73	G15
G67	G16
G85	G17
G42	G18
G87	G19
G35	G20
G69	G21
G41	G22
G99	G23
G24	G24
G71	G25
G26	G26
G74	G27
G37	G28
G10	G29
G57	G30
G18	G31
G65	G32
G45	G33
G94	G34
G50	G35
G13	G36
G96	G37
G1	G38
G22	G39
G54	G40
G79	G41
G27	G42
G90	G43
G29	G44
G91	G45
G55	G46
G53	G47
G4	G48
G59	G49
G63	G50
G31	G51
G28	G52
G11	G53
G17	G54
G78	G55
G76	G56
G3	G57
G49	G58
G89	G59
G66	G60
G20	G61
G100	G62
G83	G63
G33	G64
G7	G65
G80	G66
G81	G67
G12	G68
G92	G69
G95	G70
G43	G71
G38	G72
G47	G73
G36	G74
G82	G75
G77	G76
G39	G77
G5	G78
G6	G79
G86	G80
G15	G81
G62	G82
G68	G83
G72	G84
G56	G85
G93	G86
G21	G87
G46	G88
G58	G89
G14	G90
G98	G91
G97	G92
G44	G93
G30	G94
G51	G95
G70	G96
G32	G97
G84	G98
G34	G99
G16	G100
