"New"	"Old"
G72	G1
G46	G2
G58	G3
G73	G4
G96	G5
G44	G6
G5	G7
G23	G8
G84	G9
G56	G10
G42	G11
G97	G12
G63	G13
G98	G14
G62	G15
G49	G16
G20	G17
G52	G18
G32	G19
G89	G20
G67	G21
G10	G22
G90	G23
G39	G24
G26	G25
G6	G26
G21	G27
G36	G28
G48	G29
G27	G30
G40	G31
G43	G32
G15	G33
G80	G34
G70	G35
G55	G36
G57	G37
G38	G38
G50	G39
G8	G40
G54	G41
G25	G42
G86	G43
G69	G44
G3	G45
G22	G46
G83	G47
G16	G48
G45	G49
G4	G50
G51	G51
G17	G52
G30	G53
G92	G54
G59	G55
G24	G56
G76	G57
G66	G58
G12	G59
G91	G60
G82	G61
G1	G62
G35	G63
G37	G64
G75	G65
G87	G66
G61	G67
G7	G68
G74	G69
G29	G70
G81	G71
G13	G72
G78	G73
G77	G74
G95	G75
G34	G76
G88	G77
G33	G78
G71	G79
G60	G80
G18	G81
G64	G82
G85	G83
G79	G84
G99	G85
G94	G86
G19	G87
G68	G88
G2	G89
G93	G90
G41	G91
G47	G92
G9	G93
G65	G94
G28	G95
G31	G96
G100	G97
G11	G98
G53	G99
G14	G100
