"New"	"Old"
G9	G1
G35	G2
G99	G3
G92	G4
G43	G5
G53	G6
G46	G7
G78	G8
G82	G9
G72	G10
G25	G11
G73	G12
G36	G13
G49	G14
G61	G15
G91	G16
G74	G17
G51	G18
G75	G19
G89	G20
G52	G21
G48	G22
G50	G23
G70	G24
G66	G25
G40	G26
G16	G27
G23	G28
G65	G29
G55	G30
G95	G31
G94	G32
G96	G33
G45	G34
G90	G35
G69	G36
G60	G37
G97	G38
G14	G39
G38	G40
G47	G41
G62	G42
G17	G43
G58	G44
G88	G45
G13	G46
G59	G47
G56	G48
G41	G49
G2	G50
G67	G51
G77	G52
G19	G53
G34	G54
G32	G55
G5	G56
G22	G57
G11	G58
G44	G59
G76	G60
G26	G61
G42	G62
G54	G63
G68	G64
G98	G65
G27	G66
G24	G67
G57	G68
G4	G69
G80	G70
G28	G71
G81	G72
G21	G73
G31	G74
G87	G75
G15	G76
G6	G77
G100	G78
G39	G79
G20	G80
G1	G81
G63	G82
G86	G83
G83	G84
G37	G85
G10	G86
G64	G87
G7	G88
G29	G89
G18	G90
G33	G91
G3	G92
G79	G93
G84	G94
G93	G95
G71	G96
G30	G97
G85	G98
G8	G99
G12	G100
