"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.2258271	0.2140933	0.5668271	0.5450350	0.4891477	0.2779975	0.2020670	0.7624988	0.7103709	0.6512929
0.5044119	0.1065336	0.5425551	0.4554390	0.5260045	0.4887480	0.1462164	0.5939240	0.7369939	0.7436540
0.2385175	0.7352831	0.3041861	0.6242173	0.7285542	0.1764516	0.2926732	0.8356995	0.7902192	0.8019504
0.3787645	0.2858232	0.5384476	0.2410981	0.5964797	0.2176701	0.1563637	0.7853398	0.7124074	0.7676077
0.3315723	0.2811098	0.5560866	0.5407685	0.2712307	0.2799905	0.3271996	0.7477916	0.7099083	0.7644717
0.2696861	0.3997316	0.2588057	0.5574341	0.6764915	0.1022564	0.2589761	0.6657323	0.6027505	0.6805017
0.5415193	0.3144694	0.5173664	0.3738416	0.6544603	0.2600652	0.0492177	0.2387397	0.7437460	0.7377307
0.5076450	0.2555235	0.4666515	0.3332370	0.6484479	0.2847249	0.1807900	0.2658955	0.7357164	0.7623120
0.4529466	0.3094732	0.4839629	0.3746659	0.6160668	0.3205519	0.2049945	0.4494854	0.3502031	0.6071224
0.6190575	0.3154014	0.5532267	0.3043975	0.5954589	0.2312082	0.1101628	0.2085356	0.7503344	0.3100536
