"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.1914691	0.4486830	0.5955990	0.1557116	0.4097733	0.0815400	0.4499840	0.7935248	0.6575019	0.8260131
0.3925039	0.4205456	0.5050750	0.6545131	0.4944839	0.1597037	0.0928894	0.4741097	0.4035293	0.7720545
0.1000132	0.4159981	0.5126030	0.2629251	0.6506672	0.3398962	0.3766381	0.7554178	0.7039334	0.6141427
0.1371933	0.2493187	0.5360755	0.3028737	0.4742249	0.1059384	0.5554227	0.6886038	0.6097170	0.7708533
0.2344545	0.6167792	0.2184650	0.4832169	0.6241298	0.0470548	0.3275963	0.5890145	0.4634008	0.6274100
0.2508697	0.5256189	0.0798309	0.5711497	0.5639512	0.0168703	0.2699030	0.6804311	0.4360088	0.8082174
0.0822754	0.3197486	0.4763048	0.5241862	0.2103707	0.1546356	0.2788497	0.8477007	0.6787843	0.4853552
0.4461857	0.1068842	0.7110338	0.3522429	0.3987449	0.3816735	0.0313118	0.0719810	0.7782165	0.4999305
0.1536266	0.5905481	0.2963639	0.3467192	0.5648707	0.0443221	0.5673320	0.6630227	0.6892786	0.5412471
0.0989234	0.3788197	0.1825897	0.6487370	0.6992348	0.0547689	0.3407378	0.6271351	0.6778308	0.6831505
