"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.0000000	0.0672441	0.5234509	0.3796008	0.3743347	0.5340702	0.1760039	0.5324281	0.7461736	0.7443520
0.5371342	0.0000000	0.6041306	0.3662869	0.5134756	0.7491318	0.2371294	0.5021154	0.6946620	0.5746395
0.3030791	0.5957133	0.0000000	0.5591821	0.7112709	0.1694385	0.2782813	0.6393065	0.6994002	0.7325441
0.3791408	0.2826431	0.5758331	0.0000000	0.5695400	0.2245648	0.1817855	0.6317483	0.8195280	0.8473479
0.0808363	0.2597320	0.5631017	0.5372124	0.0000000	0.2421848	0.5272529	0.8031774	0.6506177	0.7973308
0.1084436	0.3354126	0.0194469	0.5740375	0.7538427	0.0000000	0.4900152	0.6282166	0.6686536	0.6226983
0.7368873	0.3257564	0.5681465	0.2037300	0.6968045	0.2455552	0.0000000	0.0355044	0.7460181	0.7132808
0.3094753	0.2791252	0.4531125	0.3544043	0.6770062	0.2964527	0.2016112	0.0000000	0.7422204	0.5974238
0.6961588	0.2221545	0.5583642	0.1701072	0.3949678	0.2003994	0.0253866	0.0297787	0.0000000	0.7168931
0.6846087	0.2332944	0.4825860	0.2781783	0.5200047	0.1984493	0.0419664	0.0583528	0.7162235	0.0000000
