"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.0835400	0.5827425	0.3246533	0.1856660	0.5673235	0.6038537	0.5533106	0.5072525	0.7754879	0.6974851
0.3988891	0.2326912	0.2610969	0.2894787	0.5452676	0.5195082	0.3289654	0.2420306	0.2960289	0.6494291
0.1242543	0.3775489	0.5757647	0.1365732	0.3762989	0.6380957	0.6547235	0.6136544	0.8041881	0.6798382
0.1678920	0.3056648	0.5975258	0.2227362	0.5711344	0.6018989	0.5624748	0.6221895	0.8842039	0.6243579
0.7765035	0.0320467	0.6017423	0.1786495	0.6321441	0.7362578	0.3358444	0.7367653	0.6408556	0.5104542
0.4064345	0.0690305	0.3918848	0.2236135	0.5845758	0.5489100	0.3611978	0.5979808	0.4205554	0.6997106
0.0480080	0.6261133	0.4641131	0.0274592	0.8501755	0.6930394	0.0320300	0.5118197	0.5395253	0.5872011
0.1809406	0.4079819	0.6597544	0.1208072	0.6914344	0.6757973	0.4932811	0.6955515	0.3800294	0.4767033
0.3562750	0.0810439	0.6944630	0.1815899	0.5285420	0.5920828	0.4772924	0.8672294	0.6500483	0.7145631
0.5389945	0.0385212	0.6990263	0.1240505	0.6375902	0.7380400	0.3766305	0.5668678	0.6021925	0.4322159
