"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.3567030	0.0518640	0.6915640	0.6535905	0.1067201	0.6709484	0.0526698	0.7082631	0.6632248	0.6739873
0.8286136	0.0844374	0.7327658	0.5864727	0.0845839	0.6612212	0.0361826	0.6574234	0.8013937	0.7941476
0.6188496	0.0292493	0.3206453	0.7061204	0.1153243	0.6522130	0.0332570	0.5913654	0.7142817	0.6408475
0.5592356	0.2578750	0.7935866	0.3466443	0.1832542	0.5505087	0.1285457	0.6065838	0.7359606	0.6602065
0.7210524	0.0688843	0.6340991	0.6372167	0.0592828	0.7044860	0.0304340	0.6854122	0.6532208	0.7634172
0.6702935	0.1683838	0.6375147	0.6307557	0.2183160	0.2772244	0.0363643	0.6162352	0.8160717	0.7014148
0.7524907	0.1735107	0.7471937	0.8140356	0.1115474	0.7077994	0.0572783	0.5705396	0.8417916	0.6794591
0.6852368	0.1735472	0.7041949	0.6180789	0.1655941	0.5593032	0.0751363	0.2877024	0.7426215	0.6833144
0.6504600	0.2477610	0.6511802	0.6588313	0.2061696	0.6017150	0.0807533	0.7390404	0.3004400	0.6997182
0.7160265	0.0971924	0.7293665	0.6966888	0.0848846	0.6760114	0.1027391	0.5512804	0.6038788	0.3677290
