"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.0000000	0.0022112	0.5716734	0.8036666	0.4102836	0.7358766	0.0143307	0.6750239	0.6743827	0.7518141
0.5488782	0.0000000	0.7468077	0.5718352	0.4007016	0.5679520	0.0106014	0.7334961	0.6165292	0.7050542
0.7770788	0.0175161	0.0000000	0.6748553	0.0342996	0.7066170	0.0114391	0.6975970	0.5745078	0.6743795
0.7655374	0.5868428	0.4744050	0.0000000	0.2885828	0.4011923	0.2830928	0.3916746	0.6257364	0.7388889
0.6836773	0.0004530	0.3703445	0.7174788	0.0000000	0.6160300	0.0178038	0.6618351	0.7318936	0.7123570
0.6605669	0.2567712	0.6800004	0.7345898	0.1421274	0.0000000	0.0096418	0.7319605	0.6811080	0.6746225
0.6866649	0.1333765	0.6383021	0.6424912	0.1067178	0.6058719	0.0000000	0.5796717	0.5444482	0.6848748
0.6749395	0.1543942	0.7775016	0.7301457	0.0411572	0.6315547	0.1228170	0.0000000	0.6723595	0.6679227
0.6574681	0.3984585	0.7932769	0.6381450	0.3141330	0.4210069	0.2820300	0.6258942	0.0000000	0.7237802
0.7964460	0.0632800	0.4841988	0.7905824	0.0582988	0.7447709	0.0595510	0.6128357	0.6653215	0.0000000
